b,15,16,17,18,19,20,21,22,23,24,25
15,66.98,67.28,66.43,67.01,66.7,68.02,66.42,67.78,66.41,67.11,66.7
16,62.45,62.47,62.15,61.92,62.61,62.37,63.31,62.66,61.91,62.26,62.62
17,66.79,66.07,65.59,65.89,65.85,66.09,65.19,66.88,65.64,66.24,65.65
18,62.04,60.95,60.73,61.19,61.19,61.48,60.79,60.78,60.39,60.89,61.23
19,64.95,64.87,65.7,65.44,65.44,65.11,65.13,66.05,64.94,64.85,64.23
20,60.6,60.53,60.64,60.81,60.82,60.55,59.48,59.75,60.81,59.49,60.07
21,63.93,64.5,64.73,64.34,64.61,64.05,64.34,65.3,64.85,64.3,64.39
22,59.89,59.74,58.82,59.04,59.15,59.67,58.7,60.07,59.51,59.56,58.8
23,63.12,64.33,64.41,64.11,63.84,64.02,62.8,64.07,63.74,63.38,63.42
24,59.05,58.12,59.06,58.82,58.53,59.61,57.77,59.04,57.37,59.56,59.34
25,62.59,64.14,63.56,62.49,63.58,62.49,63.03,63.2,62.56,62.0,62.81
